100
MARKS      CLASS      NAME       ID
59         3          Alister    1
69         6          Ronald     2
85         7          Martin     3
92         6          Dylan      4
57         5          Grant      5
74         3          Glen       6
58         5          Iain       7
89         8          Gary       8
74         2          Gregory    9
83         9          Dean       10
70         6          Bryan      11
65         4          Jamie      12
90         9          George     13
73         3          Donald     14
99         3          Jason      15
92         3          Matthew    16
90         2          Damian     17
60         6          Charles    18
94         8          James      19
54         7          Robin      20
73         3          Marc       21
71         4          Fergus     22
53         9          Martin     23
69         5          Marcus     24
77         4          Alastair   25
89         8          Roy        26
82         3          Geoffrey   27
50         8          Ryan       28
97         6          Ronald     29
91         8          Daniel     30
84         4          Jeremy     31
89         3          John       32
64         6          Kenneth    33
92         6          Barrie     34
96         7          Jack       35
94         8          Ian        36
58         2          Owen       37
69         3          Nathan     38
83         3          Ross       39
81         8          Nicholas   40
79         7          Robin      41
85         9          Norman     42
83         4          Donald     43
80         8          Alastair   44
74         7          Gavin      45
80         3          Owen       46
72         8          Archibald  47
59         8          Timothy    48
59         7          George     49
63         8          Frank      50
89         4          Gerard     51
89         7          Bruce      52
74         5          Benjamin   53
90         6          Ross       54
67         6          Ross       55
53         8          Brendan    56
93         9          James      57
90         5          Angus      58
83         3          George     59
59         2          Murray     60
53         2          Edward     61
86         2          Douglas    62
97         9          Iain       63
84         3          Lee        64
74         8          Robert     65
57         7          Ewen       66
97         6          Steven     67
50         9          Gavin      68
79         2          Martin     69
73         6          Marc       70
62         2          Antony     71
66         3          Peter      72
71         5          Richard    73
56         6          Niall      74
94         3          Anthony    75
62         6          Ewan       76
90         5          Frank      77
88         8          Lee        78
80         8          Scott      79
77         2          Nicholas   80
63         8          Roderick   81
72         7          Christian  82
56         9          Jason      83
87         5          Alan       84
77         2          Jason      85
54         9          Craig      86
76         7          Neil       87
53         7          Barrie     88
75         3          William    89
79         7          Edward     90
64         8          Fraser     91
92         9          Jonathan   92
96         6          David      93
52         4          Robin      94
96         8          James      95
53         2          Brendan    96
88         2          Angus      97
81         5          Norman     98
58         7          Paul       99
59         3          Neil       100
