100
ID         MARKS      NAME       CLASS
1          53         Alastair   7
2          57         David      8
3          99         Lindsay    9
4          66         Jeremy     4
5          69         Robert     9
6          51         William    6
7          53         Jon        9
8          54         Michael    8
9          76         Gary       9
10         94         Kenneth    3
11         63         Andrew     3
12         79         Desmond    3
13         76         Stewart    9
14         63         Patrick    7
15         97         Terry      4
16         83         Bryan      4
17         71         Dylan      3
18         74         Euan       4
19         71         Callum     3
20         58         Dean       9
21         93         Duncan     9
22         58         Damian     4
23         62         Keith      9
24         76         Nathan     6
25         66         Barry      2
26         85         Lee        4
27         55         Adam       9
28         94         Lewis      8
29         66         James      9
30         52         Hugh       9
31         85         Fergus     3
32         70         Patrick    3
33         80         Patrick    8
34         85         Jon        5
35         69         Fraser     5
36         50         Joseph     2
37         95         Wayne      5
38         96         Cameron    5
39         50         George     3
40         71         Darren     2
41         97         Robert     4
42         59         Barry      8
43         53         Matthew    3
44         87         Alexander  8
45         57         Angus      3
46         50         Gerald     5
47         89         Greig      7
48         61         Colin      3
49         55         Rory       8
50         87         Hugh       9
51         55         Darren     5
52         86         Sean       7
53         52         Paul       2
54         67         Trevor     5
55         79         Barry      3
56         68         Bernard    9
57         77         Bruce      2
58         89         Damian     7
59         70         Steven     5
60         59         Vincent    2
61         78         Peter      4
62         73         Leslie     3
63         54         Iain       9
64         50         Marc       2
65         64         Patrick    9
66         66         Glen       6
67         50         George     6
68         76         Graham     6
69         61         Stewart    9
70         94         Alastair   9
71         89         Ewen       8
72         80         Hugh       4
73         61         Russell    9
74         52         Calum      4
75         56         Jack       8
76         75         Owen       6
77         95         Cameron    4
78         80         Colin      2
79         52         Cameron    6
80         76         Arthur     5
81         56         Lewis      9
82         69         Michael    8
83         91         Glen       5
84         94         Trevor     3
85         80         Aaron      5
86         91         Arthur     5
87         78         Henry      7
88         67         Grant      3
89         63         Donald     3
90         62         Trevor     4
91         79         Barry      4
92         70         Eric       8
93         91         Jonathan   7
94         96         Fraser     2
95         61         Lee        8
96         82         Donald     6
97         56         David      8
98         89         Bryan      8
99         90         Eric       2
100        82         Sean       3
